(مص. أسس)	تَأْسِيسٌ-تَأْسِيسٌ 
(مص. تبلبل)	تَبَلْبُلٌ-تَبَلْبُلٌ 
(مص. تَبَوَّأَ)	تَبَوُّؤٌ-تَبَوُّؤٌ 
(مص. عَلِمَ)	عِلْمٌ-عِلْمٌ
( مص. وَصَمَ)	وَصْمٌ-وَصْمٌ 
(مص . سَخَرَ)	سِخْرِيٌّ-سِخْرِيٌّ
(مص . سَنِيَ) 	سَنَاءٌ-سَنَاءٌ 
(مص تَوَشَّحَ)	تَوَشُّحٌ-تَوَشُّحٌ 
(مص جَرِذَ)	جَرَذٌ-جَرَذٌ 
(مص رَعَنَ)	رُعونَةٌ-رُعونَةٌ 
(مص صِنَاعِيٌّ)	عُضْوِيَّةٌ-عُضْوِيَّةٌ 
(مص ضَرَعَ)	ضَرْعٌ-ضَرْعٌ 
(مص طاسَ)	طَوْسٌ-طَوْسٌ 
(مص عَبَّ)	عُبَابٌ-عُبَابٌ 
(مص عَرُبَ)	عُرُوبَةٌ-عُرُوبَةٌ 
(مص عَرَفَ)	عِرْفَانٌ-عِرْفَانٌ 
(مص فَضَلَ)	فُضُولٌ-فُضُولٌ 
(مص نَبَرَ)	نَبْرٌ-نَبْرٌ 
(مص نَجَا)	نَجْوٌ-نَجْوٌ 
(مص نَجَزَ)	نَجْزٌ-نَجْزٌ 
(مص نَجَمَ)	نَجْمٌ-نَجْمٌ، ةٌ 
(مص نَجَمَ)	نَجْمَةٌ-نَجْمَةٌ 
(مص نَدِيَ)	نَدًى-نَدًى 
(مص هَمَجَ)	هَمَجٌ-هَمَجٌ 
(مص: أَكْثَرَ)	إكْثَارٌ-إكْثَارٌ 
(مص. آب)	مَآبٌ-مَآبٌ 
(مص. آبَ)	أوْبٌ-أوْبٌ 
(مص. آبَ)	إيابٌ-إيابٌ 
(مص. آتَى)	مُؤَاتَاةٌ-مُؤَاتَاةٌ 
(مص. آثَرَ)	إِيثَارٌ-إِيثَارٌ 
(مص. آجَرَ)	إِيجَارٌ-إِيجَارٌ 
(مص. آخَذَ)	مُؤَاخَذَةٌ-مُؤَاخَذَةٌ 
(مص. آخَى)	إِخَاءٌ-إِخَاءٌ 
(مص. آخَى)	مُؤَاخَاةٌ-مُؤَاخَاةٌ 
(مص. آرَبَ)	مُؤَارَبَةٌ-مُؤَارَبَةٌ 
(مص. آزَرَ)	مُؤَازَرَةٌ-مُؤَازَرَةٌ 
(مص. آسَى)	مُؤَاسَاةٌ-مُؤَاسَاةٌ 
(مص. آل)	مَآلٌ-مَآلٌ 
(مص. آلَ)	أَوْلٌ-أَوْلٌ 
(مص. آلَ)	إِيالَةٌ-إِيالَةٌ 
(مص. آلَفَ)	إيلاَفٌ-إيلاَفٌ 
(مص. آلَفَ)	مُؤَالَفَةٌ-مُؤَالَفَةٌ 
(مص. آمَرَ)	مُؤَامَرَةٌ-مُؤَامَرَةٌ 
(مص. آمَنَ)	إيمَانٌ-إيمَانٌ 
(مص. آن)	أَيْنٌ-أَيْنٌ 
(مص. آنَ)	أوْنٌ-أوْنٌ 
(مص. آنَسَ)	إِينَاسٌ-إِينَاسٌ 
(مص. آوَى)	إِيواءٌ-إِيواءٌ 
(مص. أبَا، يَأْبُو)	أُبُوَّةٌ-أُبُوَّةٌ 
(مص. أبَاتَ)	إبَاتَةٌ-إبَاتَةٌ 
(مص. أبَاحَ)	إبَاحَةٌ-إبَاحَةٌ 
(مص. أبَادَ)	إِبَادَةٌ-إِبَادَةٌ 
(مص. أبَانَ)	إِبَانَةٌ-إِبَانَةٌ 
(مص. أبْحَرَ)	إبْحَارٌ-إبْحَارٌ 
(مص. أَبَّدَ)	تَأْبِيدٌ-تَأْبِيدٌ 
(مص. أبِدَ).	أبَدٌ-أبَدٌ 
(مص. أبْدَعَ)	إِبْدَاعٌ-إِبْدَاعٌ 
(مص. أبدل)	إبدالٌ-إبدالٌ
(مص. أبْدَى)	إبْداءٌ-إبْداءٌ 
(مص. أبَرَّ)	إبْرَارٌ-إبْرَارٌ 
(مص. أَبْرَحَ)	إِبْرَاحٌ-إِبْرَاحٌ 
(مص. أَبْرَزَ)	إِبْرَازٌ-إِبْرَازٌ 
(مص. أَبْرَقَ)	إِبْرَاقٌ-إِبْرَاقٌ 
(مص. أَبْرَمَ)	إبْرَامٌ-إبْرَامٌ 
